"id","city","district_name","distance_to_downtown","green_level","water","station","bridge","factory","max_floors","school_level","kgarten_level","supermarket_level","mall_level","transport_level","gas_station","type","okrug","well_being"
"1","Omsk","2_mr","7.13","1","0","0","1","0","14","2","2","2","1","2","1","mkd","k","65"
"2","Omsk","parkovyy","6.97","2","1","0","1","0","14","2","2","2","2","2","1","mkd","k","67"
"3","Omsk","4_mr","6.45","1","0","0","1","0","14","2","2","2","2","2","0","mkd","k","67"
"4","Omsk","zvezdnyy","7.85","2","1","0","1","0","14","2","2","2","2","2","1","mkd","k","63"
"5","Omsk","solnechnyy","9.25","0","0","0","1","1","9","2","2","2","0","2","1","mkd","k","35"
"6","Omsk","na_dianova","8.12","1","0","0","1","0","16","1","1","2","0","2","1","mkd","k","55"
"7","Omsk","1_mr","6","2","0","0","1","0","12","2","2","1","0","1","1","mkd","k","65"
"8","Omsk","3_mr","5.75","2","0","0","1","0","9","2","2","2","2","2","0","mkd","k","70"
"9","Omsk","6_mr","5.29","2","0","0","1","0","14","2","2","2","2","1","0","mkd","k","72"
"10","Omsk","5_mr","4.8","1","0","0","1","0","14","2","2","2","2","1","0","mkd","k","57"
"11","Omsk","kontinentalnyy","3.96","0","0","0","1","0","9","2","2","2","2","2","0","mkd","k","78"
"12","Omsk","berezovay_roscha","4.71","2","0","0","1","0","16","2","2","2","0","0","1","mkd","k","68"
"13","Omsk","sadovyy","5.02","1","0","0","1","0","2","1","1","0","2","0","1","cottages","k","82"
"14","Omsk","13_mr","4.73","0","0","0","1","0","16","1","1","1","1","1","1","mkd","k","63"
"15","Omsk","cristall","4.21","2","0","0","1","0","16","2","2","2","2","2","0","mkd","k","80"
"16","Omsk","10_mr","3.47","2","0","0","1","0","14","2","2","2","2","2","1","mkd","k","79"
"17","Omsk","11_mr","2.99","1","0","0","1","0","16","2","2","2","2","2","1","mkd","k","82"
"18","Omsk","12_mr","3.88","2","0","0","1","0","16","2","2","2","2","1","1","mkd","k","76"
"19","Omsk","pribrejnyy","4.51","1","2","0","1","0","17","1","2","1","1","1","0","mkd","k","72"
"20","Omsk","kuzminki","4.1","0","2","0","1","0","23","2","2","2","0","1","1","mkd","k","84"
"21","Omsk","rybachiy","3.17","2","2","0","1","0","2","0","0","0","0","1","0","cottages","k","84"
"22","Omsk","karjas","2.58","1","2","0","1","0","1","0","0","0","0","0","0","wooden houses","k","20"
"23","Omsk","avangrad","2.02","0","2","0","1","0","16","1","1","1","0","2","0","mkd","k","52"
"24","Omsk","ostrovka","1.52","2","2","0","1","0","2","0","0","0","0","0","1","wooden houses","k","31"
"25","Omsk","vhodnoy","13.3","1","0","1","1","0","5","2","2","1","0","0","1","mkd","k","22"
"26","Omsk","ryabinovka","10.7","1","0","0","1","1","2","0","1","1","0","0","1","mkd","k","32"
"27","Omsk","dolina_nischih","8.52","1","0","0","1","0","2","0","0","1","0","0","1","cottages","k","85"
"28","Omsk","chukreevka","6.85","1","0","0","1","0","2","0","0","1","2","0","1","cottages","k","89"
"29","Omsk","aviagorodok","5.1","1","1","0","1","0","9","2","2","1","0","1","0","mkd","k","43"
"30","Omsk","kirov_voenkomat","5.73","1","0","1","1","0","2","1","1","1","0","1","0","wooden houses","k","21"
"31","Omsk","nemeckiy_pos","6.08","0","0","1","1","1","2","1","1","1","0","1","1","wooden houses","k","19"
"32","Omsk","kirov_adm","6.64","1","0","1","1","1","9","2","2","2","0","1","0","mkd","k","41"
"33","Omsk","old_kirovsk","7.86","0","0","0","1","1","2","1","1","1","0","1","0","wooden houses","k","19"
"34","Omsk","samarka","9.3","0","0","0","1","1","1","1","1","1","0","0","1","wooden houses","k","10"
"35","Omsk","melnichhyy","9.58","1","2","0","1","1","9","1","2","1","0","0","1","mkd","k","29"
"36","Omsk","near_neftyaniki","6.58","2","2","0","0","0","16","2","2","2","2","2","0","mkd","s","70"
"37","Omsk","medium_neftyaniki","7.73","2","2","0","0","1","9","2","2","1","1","2","0","mkd","s","61"
"38","Omsk","far_neftyniki","8.89","2","2","0","0","1","16","2","2","2","0","1","1","mkd","s","65"
"39","Omsk","north_neftyaniki","8.59","1","0","0","0","1","9","2","2","2","0","1","1","mkd","s","64"
"40","Omsk","pravyy_bereg_irtysha","5.98","2","1","0","0","0","3","0","0","1","1","1","0","cottages","s","93"
"41","Omsk","prigorodniy","7.85","1","2","0","0","0","16","1","1","1","0","0","0","mkd","s","46"
"42","Omsk","zahlamino","9","1","2","0","0","0","1","1","0","1","0","0","0","wooden houses","s","36"
"43","Omsk","yubileynyy","10.5","1","2","0","0","1","5","2","2","1","0","0","1","mkd","s","31"
"44","Omsk","pervomayskiy","7.11","2","0","0","0","0","14","2","2","2","2","2","1","mkd","s","63"
"45","Omsk","sibniishoz","5.47","2","1","0","0","0","9","2","2","2","0","2","1","mkd","s","51"
"46","Omsk","agrarka","5.14","2","1","0","0","0","6","2","2","2","0","2","0","mkd","s","75"
"47","Omsk","izumrudnyy_bereg","3.08","1","2","0","0","0","17","0","0","1","0","2","0","mkd","s","85"
"48","Omsk","zatonskie","2.75","2","2","0","0","0","3","0","0","1","0","2","0","cottages","s","95"
"49","Omsk","sereb_bereg","2.05","2","2","0","0","0","16","0","0","2","1","2","0","mkd","s","91"
"50","Omsk","vodniki","2.51","2","1","0","0","0","9","0","0","1","0","2","0","mkd","s","70"
"51","Omsk","sudoremontnye","4.25","0","0","0","0","0","2","1","1","1","0","1","0","wooden houses","c","48"
"52","Omsk","stargorod_mkd","3.36","2","1","0","0","0","7","0","1","1","0","1","1","mkd","c","93"
"53","Omsk","stargorod_cottages","3.5","2","1","0","0","0","2","0","1","1","0","1","1","cottages","c","96"
"54","Omsk","volochaevskiy","1.16","1","2","0","0","0","14","2","2","2","2","2","0","mkd","c","93"
"55","Omsk","sibzavod","1.31","1","0","0","0","0","18","2","2","2","2","2","1","mkd","c","93"
"56","Omsk","krepost","0.3","2","2","0","0","0","9","2","0","1","2","2","0","mkd","c","98"
"57","Omsk","na_sennoy","0.8","2","2","0","0","0","25","0","0","2","2","2","0","mkd","c","94"
"58","Omsk","severnye","2.5","0","0","0","0","0","2","1","1","1","0","2","1","wooden houses","c","53"
"59","Omsk","oktyabrskaya","1.27","1","0","0","0","0","9","1","1","1","0","2","0","mkd","c","85"
"60","Omsk","remeslennye","2.12","1","2","0","0","0","2","1","1","1","0","1","0","wooden houses","c","47"
"61","Omsk","vostochnye","3.09","0","2","0","0","1","2","1","1","1","0","1","0","wooden houses","c","45"
"62","Omsk","pos_kozickogo","3.22","1","0","0","0","1","5","0","2","1","0","1","0","mkd","c","42"
"63","Omsk","amur_houses","4.3","1","0","0","0","1","2","1","1","1","0","1","1","wooden houses","c","40"
"64","Omsk","amur_mkd","5.23","1","0","0","0","1","17","2","2","2","2","2","1","mkd","c","48"
"65","Omsk","amur_2","6.83","0","0","0","1","1","16","1","1","2","0","1","0","mkd","c","30"
"66","Omsk","zavertyaeva","6.94","0","0","1","1","1","10","1","1","2","0","1","1","mkd","c","32"
"67","Omsk","pervokirpichnyy","7.72","1","0","0","1","1","10","1","1","1","0","1","0","mkd","c","28"
"68","Omsk","kahovskaya","7.1","0","0","0","1","0","2","0","0","1","0","1","0","cottages","c","62"
"69","Omsk","leningrad_pld","2","2","2","0","0","0","6","2","2","1","2","2","0","mkd","c","93"
"70","Omsk","lermontova","1.46","2","0","0","0","0","11","2","2","1","2","2","0","mkd","c","93"
"71","Omsk","ecocenter","2.8","2","0","0","0","0","14","2","2","2","1","2","0","mkd","c","82"
"72","Omsk","pushkina","3.04","1","0","0","0","1","9","1","1","1","1","2","0","mkd","c","79"
"73","Omsk","kuybyshevski","2.16","2","0","0","0","0","16","2","2","2","2","2","1","mkd","c","80"
"74","Omsk","lugovoy","1.71","1","2","0","0","0","1","0","0","1","0","0","0","wooden houses","c","35"
"75","Omsk","kazachiy","1.96","1","0","0","0","0","2","2","2","1","1","2","0","cottages","c","80"
"76","Omsk","popova","3.43","1","0","0","0","1","9","2","2","2","1","2","0","mkd","c","70"
"77","Omsk","linii_omka","3.58","0","2","0","0","0","1","1","0","1","0","0","0","wooden houses","c","37"
"78","Omsk","biofabrika","5.31","0","0","1","1","1","16","0","2","2","0","1","1","mkd","c","34"
"79","Omsk","zarechnye","5.51","0","2","1","0","1","1","0","0","0","0","0","0","wooden houses","c","15"
"80","Omsk","kazachie_kladbicshe","2.44","2","0","0","0","0","9","2","2","2","1","2","0","mkd","c","75"
"81","Omsk","krasnyh_zor","3.79","0","0","0","0","1","2","2","1","1","0","1","0","wooden houses","c","55"
"82","Omsk","20_let_rkka","3.25","2","0","0","0","1","5","2","2","1","2","1","0","mkd","o","64"
"83","Omsk","bolshevichka","2.95","2","0","0","0","0","12","2","2","1","2","2","0","mkd","o","80"
"84","Omsk","hitryy_rynok","3.41","0","0","0","0","1","2","2","2","1","0","1","0","wooden houses","o","47"
"85","Omsk","transprotnye","4.18","1","0","0","0","1","16","2","2","2","0","2","0","mkd","o","49"
"86","Omsk","polet","4.7","1","0","0","0","1","18","2","1","2","0","2","0","mkd","o","57"
"87","Omsk","sibgufk","4.84","2","1","1","0","1","9","1","2","1","0","0","0","mkd","o","62"
"88","Omsk","kosmicheskiy","5.81","1","0","0","1","1","16","2","2","2","2","2","0","mkd","o","71"
"89","Omsk","near_chkalovsk","5.38","1","0","1","1","1","9","2","2","2","1","2","0","mkd","o","60"
"90","Omsk","main_chkalovsk","6.68","2","0","0","1","1","9","2","2","2","0","2","0","mkd","o","62"
"91","Omsk","shinnyy","6.05","2","0","1","1","1","9","2","2","2","0","1","0","mkd","o","55"
"92","Omsk","kordnyy","7.19","2","0","0","1","1","14","2","2","2","0","1","0","mkd","o","63"
"92","Omsk","rabochie_mkd","5.82","2","0","0","0","1","9","2","2","2","1","2","0","mkd","o","70"
"93","Omsk","rabochie_houses","7.17","0","0","1","0","1","2","1","1","1","0","2","0","wooden houses","o","51"
"94","Omsk","dom_drujby","5.7","1","0","0","0","1","9","2","2","2","0","2","0","mkd","o","67"
"95","Omsk","komsomolskiy_gorodok","6.03","0","0","1","0","1","5","2","1","1","0","1","0","mkd","o","31"
"96","Omsk","jeleznodorojnyy","7","0","0","1","0","1","9","2","2","1","0","1","0","mkd","o","45"
"97","Omsk","18_voen_gorodok","4.47","0","0","0","0","0","10","1","1","1","0","1","0","mkd","o","46"
"98","Omsk","dom_pechati","3.23","2","2","0","0","0","9","2","2","1","2","2","0","mkd","l","85"
"99","Omsk","near_leninsk","4.86","2","2","0","0","0","9","2","2","2","2","2","0","mkd","l","70"
"100","Omsk","far_leninsk","5.66","2","2","2","0","1","16","2","2","2","2","2","0","mkd","l","63"
"101","Omsk","privokzalnyy_mkd","5.59","0","0","2","1","1","9","2","2","1","0","1","0","mkd","l","50"
"102","Omsk","privokzalnyy_houses","5.59","0","0","2","1","1","1","2","2","1","0","1","0","wooden houses","l","42"
"103","Omsk","cheredovyy","7.12","0","1","1","1","1","1","2","1","1","0","1","0","wooden houses","l","40"
"104","Omsk","televizionka","8.08","1","1","1","1","1","16","2","2","2","1","1","1","mkd","l","61"
"105","Omsk","port-artur","7.54","1","1","2","1","1","2","2","1","1","1","1","1","wooden houses","l","24"
"106","Omsk","sozvezdie","7.89","1","0","0","1","0","9","0","1","1","0","0","0","mkd","l","31"
"107","Omsk","yujnyy","9.39","0","0","1","1","0","2","2","1","1","0","1","1","wooden houses","l","34"
"108","Omsk","staraya_moskovka","9.36","1","0","1","1","0","5","2","2","1","2","1","1","mkd","l","33"
"109","Omsk","stancionnye","10.3","0","0","1","1","0","1","1","1","1","0","1","0","wooden houses","l","29"
"110","Omsk","moskovka_2","10.4","2","0","0","1","0","14","2","2","2","1","2","1","mkd","l","65"
"111","Omsk","silvestra","10.4","1","0","0","1","0","16","1","2","2","1","1","1","mkd","l","62"
"112","Omsk","moskovka_3","11.3","1","0","0","1","0","2","1","1","1","1","0","0","cottages","l","76"
